sustained_wind_kmh,pressure_hpa,distance_to_coast_km,historical_cyclone_density,cyclone_season,label
74.1,990.0,0.0,0.0,0,1
46.3,1001.6,0.0,0.0,0,0
46.3,990.0,0.0,0.0,0,0
46.3,990.0,0.0,0.0,0,0
46.3,990.0,0.0,0.0,0,0
46.3,990.0,0.0,0.0,0,0
46.3,993.0,0.0,0.145,0,0
46.3,993.0,0.0,0.0,0,0
46.3,997.0,0.0,0.0,0,0
46.3,997.0,0.0,0.0,0,0
61.1,996.7,328.0,0.0,1,0
83.3,994.0,30.0,0.0,1,1
64.8,994.0,0.0,0.143,1,1
46.3,998.0,0.0,0.0,1,0
37.0,998.0,0.0,0.0,1,0
37.0,998.0,0.0,0.0,1,0
55.6,998.5,722.0,0.142,1,0
79.6,993.0,465.0,0.283,1,1
101.9,988.0,347.0,0.283,1,1
101.9,986.0,205.0,0.142,1,1
74.1,986.0,0.0,0.708,1,1
42.6,1002.9,484.0,0.0,1,0
46.3,1001.6,452.0,0.0,1,0
46.3,1001.6,233.0,0.0,1,0
64.8,1000.0,516.0,0.706,1,1
92.6,992.0,54.0,0.423,1,1
74.1,994.0,0.0,0.423,1,1
37.0,1004.8,333.0,0.42,1,0
51.9,999.8,196.0,0.84,1,0
55.6,998.5,174.0,0.699,1,0
46.3,1001.6,0.0,0.14,1,0
37.0,1004.8,74.0,0.0,1,0
51.9,999.8,405.0,0.0,1,0
64.8,995.4,494.0,0.0,1,1
74.1,992.3,456.0,0.14,1,1
83.3,989.2,363.0,0.14,1,1
74.1,992.3,217.0,0.0,1,1
55.6,998.5,0.0,0.0,1,0
18.5,1011.0,0.0,0.0,1,0
51.9,999.8,278.0,0.557,1,0
55.6,998.5,252.0,0.557,1,0
51.9,999.8,244.0,0.835,1,0
64.8,995.4,362.0,0.556,1,1
64.8,995.4,468.0,0.278,1,1
37.0,1004.8,300.0,0.695,1,0
37.0,1004.8,10.0,0.139,1,0
51.9,999.8,170.0,0.131,1,0
46.3,1001.6,67.0,0.261,1,0
64.8,995.4,276.0,0.0,1,1
64.8,995.4,370.0,0.261,1,1
64.8,995.4,432.0,0.13,1,1
64.8,995.4,287.0,0.391,1,1
46.3,1001.6,215.0,0.261,1,0
46.3,1001.6,172.0,0.515,0,0
46.3,1001.6,24.0,0.384,0,0
55.6,998.5,99.0,0.502,1,0
51.9,999.8,186.0,0.125,1,0
64.8,995.4,211.0,0.499,1,1
