event_id,began,ended,country,latitude,longitude,dead,displaced,main_cause,severity,magnitude
2916.000000,20060709,20060713,Pakistan,33.06,69.95,23.000000,50.000000,Heavy rain,1.000000,4.542825
2911.000000,20060704,20060707,India,22.41,71.31,24.000000,8400.000000,Heavy rain,1.000000,5.832764
2910.000000,20060703,20060706,India,19.1,72.88,9.000000,0.000000,Monsoonal rain,1.000000,3.193125
2909.000000,20060703,20060708,India,19.17,83.65,33.000000,0.000000,Monsoonal rain,1.000000,5.274527
2908.000000,20060703,20060704,Pakistan,35.35,72.62,22.000000,0.000000,Heavy rain,1.000000,3.456366
2907.000000,20060703,20060704,Afghanistan,35.95,69.13,7.000000,0.000000,Heavy rain,1.000000,3.496930
2894.000000,20060624,20060803,India,25.62,83.67,160.000000,0.000000,Monsoonal rain,1.000000,7.317449
2879.000000,20060531,20060724,India,26.6,94.02,21.000000,600000.000000,Monsoonal rain,1.000000,6.990783
2878.000000,20060525,20060602,India,10.54,76.05,32.000000,10800.000000,Monsoonal rain,1.500000,5.760660
2876.000000,20060531,20060604,India,18.73,75.23,41.000000,0.000000,Monsoonal rain,1.000000,6.296007
2859.000000,20060429,20060505,Burma (Myanmar),18.37,94.95,21.000000,800.000000,Tropical cyclone,1.000000,5.736580
2857.000000,20060506,20060507,Nepal,28.25,83.53,7.000000,0.000000,Heavy rain,1.000000,3.563481
2844.000000,20060415,20060418,India,17.43,82.81,20.000000,0.000000,Heavy rain,1.000000,5.882866
